order_id,order_date,customer_id,customer_name,city,country,product_id,product_name,category,quantity,unit_price
1,2023-05-23,C001,Anna Schmidt,Berlin,Germany,P001,Laptop Pro 14,Electronics,5,386.22
2,2023-02-02,C001,Anna Schmidt,Berlin,Germany,P005,4K Monitor,Electronics,2,895.98
3,2024-09-08,C001,Anna Schmidt,Berlin,Germany,P001,Laptop Pro 14,Electronics,4,368.17
4,2024-12-19,C001,Anna Schmidt,Berlin,Germany,P005,4K Monitor,Electronics,4,1081.13
5,2023-10-12,C005,Maya Chen,Amsterdam,Netherlands,P004,Standing Desk,Furniture,4,687.58
6,2023-06-09,C001,Anna Schmidt,Berlin,Germany,P002,Wireless Mouse,Accessories,7,526.87
7,2023-04-10,C002,John Miller,Hamburg,Germany,P003,Office Chair,Furniture,2,161.8
8,2024-04-15,C003,Sofia Rossi,Milan,Italy,P003,Office Chair,Furniture,5,1215.51
9,2023-10-28,C005,Maya Chen,Amsterdam,Netherlands,P001,Laptop Pro 14,Electronics,7,141.23
10,2023-02-16,C005,Maya Chen,Amsterdam,Netherlands,P003,Office Chair,Furniture,4,1064.24
11,2023-04-14,C002,John Miller,Hamburg,Germany,P003,Office Chair,Furniture,2,1286.59
12,2024-01-09,C004,Liam Dupont,Paris,France,P003,Office Chair,Furniture,8,962.63
13,2023-10-01,C002,John Miller,Hamburg,Germany,P003,Office Chair,Furniture,6,334.02
14,2023-09-08,C001,Anna Schmidt,Berlin,Germany,P005,4K Monitor,Electronics,3,812.86
15,2024-10-17,C002,John Miller,Hamburg,Germany,P004,Standing Desk,Furniture,7,423.17
16,2023-02-27,C005,Maya Chen,Amsterdam,Netherlands,P002,Wireless Mouse,Accessories,6,1268.21
17,2023-03-09,C002,John Miller,Hamburg,Germany,P001,Laptop Pro 14,Electronics,6,616.72
18,2024-05-26,C002,John Miller,Hamburg,Germany,P005,4K Monitor,Electronics,6,338.62
19,2023-09-10,C004,Liam Dupont,Paris,France,P004,Standing Desk,Furniture,3,415.7
20,2024-03-14,C005,Maya Chen,Amsterdam,Netherlands,P005,4K Monitor,Electronics,5,1126.85
21,2023-05-22,C005,Maya Chen,Amsterdam,Netherlands,P004,Standing Desk,Furniture,6,348.5
22,2023-04-23,C005,Maya Chen,Amsterdam,Netherlands,P004,Standing Desk,Furniture,2,1139.78
23,2024-01-30,C002,John Miller,Hamburg,Germany,P002,Wireless Mouse,Accessories,7,904.7
24,2024-07-20,C004,Liam Dupont,Paris,France,P005,4K Monitor,Electronics,8,805.44
25,2023-12-15,C001,Anna Schmidt,Berlin,Germany,P001,Laptop Pro 14,Electronics,5,1158.68
26,2023-01-04,C001,Anna Schmidt,Berlin,Germany,P003,Office Chair,Furniture,7,258.28
27,2023-04-19,C003,Sofia Rossi,Milan,Italy,P005,4K Monitor,Electronics,3,773.83
28,2023-06-15,C003,Sofia Rossi,Milan,Italy,P005,4K Monitor,Electronics,4,250.44
29,2024-05-15,C005,Maya Chen,Amsterdam,Netherlands,P005,4K Monitor,Electronics,1,908.44
30,2023-11-11,C001,Anna Schmidt,Berlin,Germany,P001,Laptop Pro 14,Electronics,6,1321.11
31,2023-03-22,C002,John Miller,Hamburg,Germany,P001,Laptop Pro 14,Electronics,4,1320.06
32,2024-06-29,C001,Anna Schmidt,Berlin,Germany,P004,Standing Desk,Furniture,2,1467.53
33,2023-06-19,C002,John Miller,Hamburg,Germany,P002,Wireless Mouse,Accessories,8,1421.6
34,2024-07-06,C003,Sofia Rossi,Milan,Italy,P005,4K Monitor,Electronics,7,1447.44
35,2024-10-27,C002,John Miller,Hamburg,Germany,P003,Office Chair,Furniture,7,1492.85
36,2023-08-19,C003,Sofia Rossi,Milan,Italy,P004,Standing Desk,Furniture,8,203.48
37,2023-08-24,C001,Anna Schmidt,Berlin,Germany,P003,Office Chair,Furniture,1,892.76
38,2024-10-08,C005,Maya Chen,Amsterdam,Netherlands,P002,Wireless Mouse,Accessories,1,129.71
39,2023-12-05,C001,Anna Schmidt,Berlin,Germany,P002,Wireless Mouse,Accessories,2,1360.49
40,2024-05-12,C001,Anna Schmidt,Berlin,Germany,P005,4K Monitor,Electronics,4,435.75
41,2024-08-07,C002,John Miller,Hamburg,Germany,P005,4K Monitor,Electronics,3,1091.95
42,2024-02-21,C005,Maya Chen,Amsterdam,Netherlands,P004,Standing Desk,Furniture,4,1182.31
43,2023-12-29,C002,John Miller,Hamburg,Germany,P001,Laptop Pro 14,Electronics,2,997.0
44,2023-02-25,C004,Liam Dupont,Paris,France,P004,Standing Desk,Furniture,8,1299.16
45,2023-04-22,C001,Anna Schmidt,Berlin,Germany,P001,Laptop Pro 14,Electronics,7,1099.12
46,2023-05-24,C002,John Miller,Hamburg,Germany,P002,Wireless Mouse,Accessories,4,816.02
47,2023-03-19,C004,Liam Dupont,Paris,France,P002,Wireless Mouse,Accessories,5,707.38
48,2024-07-07,C004,Liam Dupont,Paris,France,P005,4K Monitor,Electronics,2,99.62
49,2024-05-12,C001,Anna Schmidt,Berlin,Germany,P001,Laptop Pro 14,Electronics,4,270.31
50,2023-06-18,C004,Liam Dupont,Paris,France,P002,Wireless Mouse,Accessories,7,1356.1
51,2024-04-10,C004,Liam Dupont,Paris,France,P001,Laptop Pro 14,Electronics,7,416.17
52,2023-10-31,C003,Sofia Rossi,Milan,Italy,P004,Standing Desk,Furniture,8,253.33
53,2023-02-28,C002,John Miller,Hamburg,Germany,P001,Laptop Pro 14,Electronics,1,1128.26
54,2024-06-27,C001,Anna Schmidt,Berlin,Germany,P005,4K Monitor,Electronics,8,766.7
55,2023-03-12,C002,John Miller,Hamburg,Germany,P001,Laptop Pro 14,Electronics,2,1280.73
56,2024-08-06,C005,Maya Chen,Amsterdam,Netherlands,P001,Laptop Pro 14,Electronics,4,620.57
57,2024-03-05,C002,John Miller,Hamburg,Germany,P005,4K Monitor,Electronics,1,938.59
58,2023-07-29,C005,Maya Chen,Amsterdam,Netherlands,P005,4K Monitor,Electronics,6,1403.69
59,2024-11-18,C003,Sofia Rossi,Milan,Italy,P002,Wireless Mouse,Accessories,5,608.78
60,2023-03-16,C003,Sofia Rossi,Milan,Italy,P004,Standing Desk,Furniture,6,1395.3
61,2023-08-07,C001,Anna Schmidt,Berlin,Germany,P004,Standing Desk,Furniture,2,133.06
62,2023-03-12,C005,Maya Chen,Amsterdam,Netherlands,P003,Office Chair,Furniture,3,1401.56
63,2024-07-10,C002,John Miller,Hamburg,Germany,P003,Office Chair,Furniture,5,257.68
64,2024-07-21,C003,Sofia Rossi,Milan,Italy,P005,4K Monitor,Electronics,1,1010.1
65,2023-04-20,C003,Sofia Rossi,Milan,Italy,P001,Laptop Pro 14,Electronics,3,415.09
66,2023-08-04,C005,Maya Chen,Amsterdam,Netherlands,P002,Wireless Mouse,Accessories,5,440.59
67,2023-09-15,C003,Sofia Rossi,Milan,Italy,P002,Wireless Mouse,Accessories,5,770.48
68,2023-02-15,C001,Anna Schmidt,Berlin,Germany,P001,Laptop Pro 14,Electronics,7,1248.29
69,2023-09-26,C001,Anna Schmidt,Berlin,Germany,P003,Office Chair,Furniture,3,964.74
70,2023-04-25,C002,John Miller,Hamburg,Germany,P004,Standing Desk,Furniture,7,852.34
71,2024-08-19,C001,Anna Schmidt,Berlin,Germany,P002,Wireless Mouse,Accessories,1,1256.03
72,2023-11-12,C005,Maya Chen,Amsterdam,Netherlands,P002,Wireless Mouse,Accessories,7,212.98
73,2023-09-13,C003,Sofia Rossi,Milan,Italy,P001,Laptop Pro 14,Electronics,6,334.86
74,2023-06-08,C001,Anna Schmidt,Berlin,Germany,P003,Office Chair,Furniture,7,1461.41
75,2023-01-26,C002,John Miller,Hamburg,Germany,P002,Wireless Mouse,Accessories,3,1325.09
76,2023-09-12,C002,John Miller,Hamburg,Germany,P003,Office Chair,Furniture,7,1208.3
77,2023-02-09,C003,Sofia Rossi,Milan,Italy,P002,Wireless Mouse,Accessories,2,589.25
78,2024-04-16,C004,Liam Dupont,Paris,France,P002,Wireless Mouse,Accessories,4,1229.47
79,2024-11-06,C003,Sofia Rossi,Milan,Italy,P003,Office Chair,Furniture,4,353.81
80,2023-03-13,C002,John Miller,Hamburg,Germany,P004,Standing Desk,Furniture,6,435.94
81,2024-07-03,C003,Sofia Rossi,Milan,Italy,P003,Office Chair,Furniture,7,1027.29
82,2023-09-25,C003,Sofia Rossi,Milan,Italy,P001,Laptop Pro 14,Electronics,2,1318.63
83,2024-09-02,C002,John Miller,Hamburg,Germany,P005,4K Monitor,Electronics,5,81.43
84,2024-06-07,C004,Liam Dupont,Paris,France,P003,Office Chair,Furniture,6,668.68
85,2024-12-26,C001,Anna Schmidt,Berlin,Germany,P004,Standing Desk,Furniture,4,400.72
86,2023-03-13,C004,Liam Dupont,Paris,France,P001,Laptop Pro 14,Electronics,4,562.23
87,2023-05-08,C003,Sofia Rossi,Milan,Italy,P005,4K Monitor,Electronics,6,1003.5
88,2023-12-01,C003,Sofia Rossi,Milan,Italy,P005,4K Monitor,Electronics,5,1008.67
89,2024-11-11,C004,Liam Dupont,Paris,France,P003,Office Chair,Furniture,3,307.96
90,2023-01-01,C004,Liam Dupont,Paris,France,P002,Wireless Mouse,Accessories,5,623.96
91,2024-08-16,C003,Sofia Rossi,Milan,Italy,P003,Office Chair,Furniture,4,659.09
92,2024-11-22,C005,Maya Chen,Amsterdam,Netherlands,P003,Office Chair,Furniture,8,676.63
93,2023-06-23,C002,John Miller,Hamburg,Germany,P005,4K Monitor,Electronics,8,1195.76
94,2023-08-29,C001,Anna Schmidt,Berlin,Germany,P003,Office Chair,Furniture,6,162.75
95,2023-02-17,C003,Sofia Rossi,Milan,Italy,P002,Wireless Mouse,Accessories,4,242.35
96,2024-10-06,C002,John Miller,Hamburg,Germany,P004,Standing Desk,Furniture,2,696.74
97,2023-09-07,C005,Maya Chen,Amsterdam,Netherlands,P002,Wireless Mouse,Accessories,7,754.21
98,2023-08-13,C002,John Miller,Hamburg,Germany,P001,Laptop Pro 14,Electronics,2,1173.17
99,2023-09-13,C002,John Miller,Hamburg,Germany,P005,4K Monitor,Electronics,8,99.07
100,2024-11-14,C001,Anna Schmidt,Berlin,Germany,P004,Standing Desk,Furniture,3,1207.09
101,2024-03-29,C005,Maya Chen,Amsterdam,Netherlands,P005,4K Monitor,Electronics,6,1426.31
102,2024-07-15,C005,Maya Chen,Amsterdam,Netherlands,P005,4K Monitor,Electronics,7,1250.09
103,2023-09-11,C004,Liam Dupont,Paris,France,P002,Wireless Mouse,Accessories,8,688.85
104,2023-10-09,C003,Sofia Rossi,Milan,Italy,P005,4K Monitor,Electronics,8,949.45
105,2023-12-10,C004,Liam Dupont,Paris,France,P001,Laptop Pro 14,Electronics,5,370.88
106,2023-08-25,C003,Sofia Rossi,Milan,Italy,P005,4K Monitor,Electronics,2,229.1
107,2024-02-22,C004,Liam Dupont,Paris,France,P002,Wireless Mouse,Accessories,4,119.74
108,2023-07-31,C003,Sofia Rossi,Milan,Italy,P005,4K Monitor,Electronics,8,638.27
109,2024-08-12,C004,Liam Dupont,Paris,France,P004,Standing Desk,Furniture,1,1288.68
110,2023-11-02,C004,Liam Dupont,Paris,France,P004,Standing Desk,Furniture,1,1415.54
111,2023-10-07,C004,Liam Dupont,Paris,France,P004,Standing Desk,Furniture,4,745.14
112,2024-11-15,C004,Liam Dupont,Paris,France,P004,Standing Desk,Furniture,1,598.56
113,2024-09-29,C004,Liam Dupont,Paris,France,P002,Wireless Mouse,Accessories,8,1381.32
114,2024-11-09,C005,Maya Chen,Amsterdam,Netherlands,P001,Laptop Pro 14,Electronics,7,898.04
115,2024-04-17,C001,Anna Schmidt,Berlin,Germany,P001,Laptop Pro 14,Electronics,7,225.16
116,2023-08-05,C002,John Miller,Hamburg,Germany,P001,Laptop Pro 14,Electronics,5,584.18
117,2024-01-24,C004,Liam Dupont,Paris,France,P003,Office Chair,Furniture,6,1147.81
118,2024-04-26,C003,Sofia Rossi,Milan,Italy,P004,Standing Desk,Furniture,5,1256.49
119,2023-12-25,C001,Anna Schmidt,Berlin,Germany,P005,4K Monitor,Electronics,1,1499.86
120,2023-09-11,C002,John Miller,Hamburg,Germany,P001,Laptop Pro 14,Electronics,1,1137.49
121,2024-04-29,C002,John Miller,Hamburg,Germany,P001,Laptop Pro 14,Electronics,3,376.85
122,2023-09-20,C001,Anna Schmidt,Berlin,Germany,P005,4K Monitor,Electronics,4,710.93
123,2023-06-17,C003,Sofia Rossi,Milan,Italy,P002,Wireless Mouse,Accessories,2,1172.24
124,2024-08-12,C003,Sofia Rossi,Milan,Italy,P001,Laptop Pro 14,Electronics,1,1395.11
125,2024-12-08,C004,Liam Dupont,Paris,France,P004,Standing Desk,Furniture,4,137.09
126,2024-09-06,C002,John Miller,Hamburg,Germany,P001,Laptop Pro 14,Electronics,5,1279.18
127,2024-03-14,C001,Anna Schmidt,Berlin,Germany,P005,4K Monitor,Electronics,1,537.13
128,2024-03-06,C003,Sofia Rossi,Milan,Italy,P001,Laptop Pro 14,Electronics,6,43.66
129,2024-10-12,C004,Liam Dupont,Paris,France,P001,Laptop Pro 14,Electronics,7,1442.16
130,2024-06-18,C004,Liam Dupont,Paris,France,P002,Wireless Mouse,Accessories,7,284.8
131,2024-08-29,C003,Sofia Rossi,Milan,Italy,P005,4K Monitor,Electronics,8,710.69
132,2023-03-30,C003,Sofia Rossi,Milan,Italy,P003,Office Chair,Furniture,4,1250.33
133,2024-08-06,C003,Sofia Rossi,Milan,Italy,P004,Standing Desk,Furniture,4,1131.95
134,2023-11-29,C005,Maya Chen,Amsterdam,Netherlands,P004,Standing Desk,Furniture,6,67.33
135,2023-09-22,C002,John Miller,Hamburg,Germany,P004,Standing Desk,Furniture,4,548.37
136,2024-06-13,C003,Sofia Rossi,Milan,Italy,P003,Office Chair,Furniture,5,844.79
137,2024-05-15,C002,John Miller,Hamburg,Germany,P001,Laptop Pro 14,Electronics,4,1087.11
138,2024-05-17,C005,Maya Chen,Amsterdam,Netherlands,P002,Wireless Mouse,Accessories,8,977.71
139,2024-02-19,C004,Liam Dupont,Paris,France,P001,Laptop Pro 14,Electronics,2,459.0
140,2024-06-27,C002,John Miller,Hamburg,Germany,P003,Office Chair,Furniture,6,723.06
141,2024-04-09,C003,Sofia Rossi,Milan,Italy,P004,Standing Desk,Furniture,6,543.92
142,2023-07-17,C003,Sofia Rossi,Milan,Italy,P003,Office Chair,Furniture,5,365.04
143,2024-05-10,C003,Sofia Rossi,Milan,Italy,P001,Laptop Pro 14,Electronics,3,307.52
144,2023-07-18,C003,Sofia Rossi,Milan,Italy,P005,4K Monitor,Electronics,5,1471.25
145,2023-01-15,C003,Sofia Rossi,Milan,Italy,P002,Wireless Mouse,Accessories,6,289.68
146,2023-02-25,C005,Maya Chen,Amsterdam,Netherlands,P002,Wireless Mouse,Accessories,5,92.14
147,2024-05-17,C005,Maya Chen,Amsterdam,Netherlands,P003,Office Chair,Furniture,3,965.86
